"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
"a051N000041nhmLQAQ","false","COST-000191","AUD","true","01t1N00000EURKeQAP","558.4"
"a051N000041nhmmQAA","false","COST-000219","CAD","true","01t1N00000EURM3QAP","1299.9"
"a051N000041nhmMQAQ","false","COST-000192","AUD","true","01t1N00000EURKfQAP","180.8"
"a051N000041nhmnQAA","false","COST-000220","CAD","true","01t1N00000EURM4QAP","831.2"
"a051N000041nhmNQAQ","false","COST-000194","AUD","true","01t1N00000EURKhQAP","93.1"
"a051N000041nhmoQAA","false","COST-000221","CAD","true","01t1N00000EURL4QAP","4.2"
"a051N000041nhmOQAQ","false","COST-000195","AUD","true","01t1N00000EURKkQAP","233.1"
"a051N000041nhmpQAA","false","COST-000222","CAD","true","01t1N00000EURM5QAP","221.6"
"a051N000041nhmPQAQ","false","COST-000196","AUD","true","01t1N00000EURLHQA5","488.6"
"a051N000041nhmqQAA","false","COST-000223","CAD","true","01t1N00000EURL0QAP","307.8"
"a051N000041nhmQQAQ","false","COST-000197","AUD","true","01t1N00000EURKlQAP","120.0"
"a051N000041nhmrQAA","false","COST-000224","CAD","true","01t1N00000EURM6QAP","52.8"
"a051N000041nhmRQAQ","false","COST-000198","AUD","true","01t1N00000EURKnQAP","239.2"
"a051N000041nhmsQAA","false","COST-000225","CAD","true","01t1N00000EURL3QAP","94.5"
"a051N000041nhmSQAQ","false","COST-000199","AUD","true","01t1N00000EURKiQAP","1.6"
"a051N000041nhmtQAA","false","COST-000226","CAD","true","01t1N00000EURLbQAP","66.5"
"a051N000041nhmTQAQ","false","COST-000200","AUD","true","01t1N00000EURLnQAP","2234.4"
"a051N000041nhmuQAA","false","COST-000227","CAD","true","01t1N00000EURLBQA5","70.4"
"a051N000041nhmUQAQ","false","COST-000201","CAD","true","01t1N00000EURLXQA5","437.6"
"a051N000041nhmvQAA","false","COST-000228","CAD","true","01t1N00000EURMJQA5","243.0"
"a051N000041nhmVQAQ","false","COST-000202","CAD","true","01t1N00000EURLuQAP","439.6"
"a051N000041nhmwQAA","false","COST-000229","CAD","true","01t1N00000EURKwQAP","448.7"
"a051N000041nhmWQAQ","false","COST-000203","CAD","true","01t1N00000EURLvQAP","625.6"
"a051N000041nhmxQAA","false","COST-000230","CAD","true","01t1N00000EURMKQA5","249.6"
"a051N000041nhmXQAQ","false","COST-000204","CAD","true","01t1N00000EURLwQAP","244.8"
"a051N000041nhmyQAA","false","COST-000231","CAD","true","01t1N00000EURLLQA5","448.7"
"a051N000041nhmYQAQ","false","COST-000205","CAD","true","01t1N00000EURLxQAP","476.0"
"a051N000041nhmzQAA","false","COST-000232","CAD","true","01t1N00000EURLKQA5","24.6"
"a051N000041nhmZQAQ","false","COST-000206","CAD","true","01t1N00000EURLyQAP","460.0"
"a051N000041nhn0QAA","false","COST-000233","CAD","true","01t1N00000EURLAQA5","97.2"
"a051N000041nhn1QAA","false","COST-000234","CAD","true","01t1N00000EURMLQA5","165.2"
"a051N000041nhn2QAA","false","COST-000235","CAD","true","01t1N00000EURLaQAP","107.2"
"a051N000041nhn3QAA","false","COST-000236","CAD","true","01t1N00000EURMMQA5","42.7"
"a051N000041nhn4QAA","false","COST-000237","CAD","true","01t1N00000EURMNQA5","59.2"
"a051N000041nhn5QAA","false","COST-000238","CAD","true","01t1N00000EURLYQA5","11.2"
"a051N000041nhn6QAA","false","COST-000239","CAD","true","01t1N00000EURLZQA5","12.8"
"a051N000041nhn7QAA","false","COST-000240","CAD","true","01t1N00000EURLFQA5","10.5"
"a051N000041nhn8QAA","false","COST-000241","CAD","true","01t1N00000EURLhQAP","12.6"
"a051N000041nhn9QAA","false","COST-000242","CAD","true","01t1N00000EURL8QAP","29.4"
"a051N000041nhnaQAA","false","COST-000273","CAD","true","01t1N00000EURLiQAP","251.3"
"a051N000041nhnAQAQ","false","COST-000243","CAD","true","01t1N00000EURL9QAP","23.4"
"a051N000041nhnbQAA","false","COST-000274","CAD","true","01t1N00000EURMAQA5","386.4"
"a051N000041nhnBQAQ","false","COST-000244","CAD","true","01t1N00000EURLMQA5","550.2"
"a051N000041nhncQAA","false","COST-000275","CAD","true","01t1N00000EURKsQAP","637.0"
"a051N000041nhnCQAQ","false","COST-000245","CAD","true","01t1N00000EURKvQAP","1252.0"
"a051N000041nhndQAA","false","COST-000276","CAD","true","01t1N00000EURLJQA5","934.4"
"a051N000041nhnDQAQ","false","COST-000246","CAD","true","01t1N00000EURKyQAP","1953.6"
"a051N000041nhneQAA","false","COST-000277","CAD","true","01t1N00000EURLVQA5","909.0"
"a051N000041nhnEQAQ","false","COST-000247","CAD","true","01t1N00000EURMOQA5","33.0"
"a051N000041nhnfQAA","false","COST-000278","CAD","true","01t1N00000EURMBQA5","361.2"
"a051N000041nhnFQAQ","false","COST-000248","CAD","true","01t1N00000EURMPQA5","44.0"
"a051N000041nhngQAA","false","COST-000279","CAD","true","01t1N00000EURKtQAP","875.2"
"a051N000041nhnGQAQ","false","COST-000249","CAD","true","01t1N00000EURMQQA5","506.8"
"a051N000041nhnhQAA","false","COST-000280","CAD","true","01t1N00000EURMCQA5","0.0"
"a051N000041nhnHQAQ","false","COST-000250","CAD","true","01t1N00000EURMRQA5","1180.8"
"a051N000041nhniQAA","false","COST-000281","CAD","true","01t1N00000EURLGQA5","720.0"
"a051N000041nhnIQAQ","false","COST-000251","CAD","true","01t1N00000EURKrQAP","1449.0"
"a051N000041nhnjQAA","false","COST-000282","CAD","true","01t1N00000EURMDQA5","283.5"
"a051N000041nhnJQAQ","false","COST-000252","CAD","true","01t1N00000EURMSQA5","1789.2"
"a051N000041nhnkQAA","false","COST-000283","CAD","true","01t1N00000EURLdQAP","5309.5"
"a051N000041nhnKQAQ","false","COST-000253","CAD","true","01t1N00000EURMTQA5","3193.6"
"a051N000041nhnlQAA","false","COST-000284","CAD","true","01t1N00000EURLeQAP","0.0"
"a051N000041nhnLQAQ","false","COST-000254","CAD","true","01t1N00000EURMUQA5","1391.2"
"a051N000041nhnmQAA","false","COST-000285","CAD","true","01t1N00000EURMEQA5","0.0"
"a051N000041nhnMQAQ","false","COST-000255","CAD","true","01t1N00000EURLUQA5","1392.3"
"a051N000041nhnnQAA","false","COST-000286","CAD","true","01t1N00000EURLSQA5","1038.8"
"a051N000041nhnNQAQ","false","COST-000256","CAD","true","01t1N00000EURMVQA5","1933.6"
"a051N000041nhnoQAA","false","COST-000287","CAD","true","01t1N00000EURLCQA5","161.4"
"a051N000041nhnOQAQ","false","COST-000257","CAD","true","01t1N00000EURMWQA5","1752.8"
"a051N000041nhnpQAA","false","COST-000288","CAD","true","01t1N00000EURLPQA5","242.4"
"a051N000041nhnPQAQ","false","COST-000258","CAD","true","01t1N00000EURMXQA5","2052.0"
"a051N000041nhnqQAA","false","COST-000289","CAD","true","01t1N00000EURLkQAP","1944.0"
"a051N000041nhnQQAQ","false","COST-000259","CAD","true","01t1N00000EURLIQA5","2864.0"
"a051N000041nhnrQAA","false","COST-000290","CAD","true","01t1N00000EURLlQAP","1458.0"
"a051N000041nhnRQAQ","false","COST-000260","CAD","true","01t1N00000EURMYQA5","2739.8"
"a051N000041nhnsQAA","false","COST-000291","CAD","true","01t1N00000EURLQQA5","0.0"
"a051N000041nhnSQAQ","false","COST-000261","CAD","true","01t1N00000EURMZQA5","0.0"
"a051N000041nhntQAA","false","COST-000292","CAD","true","01t1N00000EURLoQAP","20.4"
"a051N000041nhnTQAQ","false","COST-000262","CAD","true","01t1N00000EURMaQAP","0.0"
"a051N000041nhnuQAA","false","COST-000293","CAD","true","01t1N00000EURLsQAP","75.6"
"a051N000041nhnUQAQ","false","COST-000263","CAD","true","01t1N00000EURMbQAP","0.0"
"a051N000041nhnvQAA","false","COST-000294","CAD","true","01t1N00000EURKcQAP","520.1"
"a051N000041nhnVQAQ","false","COST-000264","CAD","true","01t1N00000EURMcQAP","0.0"
"a051N000041nhnwQAA","false","COST-000295","CAD","true","01t1N00000EURKbQAP","7560.0"
"a051N000041nhnWQAQ","false","COST-000265","CAD","true","01t1N00000EURLTQA5","188.0"
"a051N000041nhnxQAA","false","COST-000296","CAD","true","01t1N00000EURMFQA5","5400.0"
"a051N000041nhnXQAQ","false","COST-000266","CAD","true","01t1N00000EURKzQAP","239.4"
"a051N000041nhnyQAA","false","COST-000297","CAD","true","01t1N00000EURMGQA5","5940.0"
"a051N000041nhnYQAQ","false","COST-000267","CAD","true","01t1N00000EURKuQAP","453.6"
"a051N000041nhnzQAA","false","COST-000298","CAD","true","01t1N00000EURLqQAP","1080.0"
"a051N000041nhnZQAQ","false","COST-000272","CAD","true","01t1N00000EURM9QAP","0.0"
"a051N000041nho0QAA","false","COST-000299","CAD","true","01t1N00000EURKaQAP","5670.0"
"a051N000041nho1QAA","false","COST-000300","CAD","true","01t1N00000EURKZQA5","5670.0"
"a051N000041nho2QAA","false","COST-000301","CAD","true","01t1N00000EURLpQAP","0.0"
"a051N000041nho3QAA","false","COST-000302","CAD","true","01t1N00000EURLmQAP","56.7"
"a051N000041nho4QAA","false","COST-000303","CAD","true","01t1N00000EURMHQA5","9180.0"
"a051N000041nho5QAA","false","COST-000304","CAD","true","01t1N00000EURKdQAP","0.0"
"a051N000041nho6QAA","false","COST-000305","CAD","true","01t1N00000EURKjQAP","182.4"
"a051N000041nho7QAA","false","COST-000306","CAD","true","01t1N00000EURLNQA5","5400.0"
"a051N000041nho8QAA","false","COST-000307","CAD","true","01t1N00000EURLOQA5","21600.0"
"a051N000041nho9QAA","false","COST-000308","CAD","true","01t1N00000EURKoQAP","0.0"
"a051N000041nhoaQAA","false","COST-000335","EUR","true","01t1N00000EURLWQA5","532.8"
"a051N000041nhoAQAQ","false","COST-000309","CAD","true","01t1N00000EURKmQAP","2592.0"
"a051N000041nhobQAA","false","COST-000336","EUR","true","01t1N00000EURKxQAP","270.2"
